date,volume,inflow
2020-08-01,581.4405,1057.5688
2020-09-01,582.3614,1128.4964
2020-10-01,585.8257,1088.418
2020-11-01,589.9758,1084.2301
2020-12-01,595.8509,1238.466
2021-01-01,597.6719,1048.9433
2021-02-01,602.919,1033.9633
2021-03-01,618.0522,1462.3054
2021-04-01,624.0279,1228.2926
2021-05-01,622.701,1076.9791
2021-06-01,623.8284,1232.4072
2021-07-01,623.4113,1109.6848
2021-08-01,621.2554,1117.6258
2021-09-01,623.1848,1172.0154
2021-10-01,628.9182,1119.8084
2021-11-01,629.8736,1117.9983
2021-12-01,635.0241,1254.234
2022-01-01,635.1973,1121.9464
2022-02-01,637.369,1068.8312
2022-03-01,656.1459,1469.1395
2022-04-01,661.8053,1251.1454
2022-05-01,657.6089,1201.9661
2022-06-01,657.5159,1347.0136
2022-07-01,658.7426,1197.0419
2022-08-01,656.7923,1268.0291
2022-09-01,653.7936,1325.4047
2022-10-01,658.2917,1321.7735
2022-11-01,663.1794,1359.2152
2022-12-01,661.717,1525.1609
2023-01-01,663.2397,1324.5354
2023-02-01,665.4665,1288.0151
2023-03-01,685.0767,1748.844
2023-04-01,693.2322,1488.9095
2023-05-01,689.282,1435.4173
2023-06-01,686.4494,1562.129
2023-07-01,686.1573,1415.8774
2023-08-01,687.563,1456.4412
2023-09-01,685.5923,1496.2273
2023-10-01,686.2974,1474.1858
2023-11-01,695.0935,1446.0999
2023-12-01,691.971,1540.8878
2024-01-01,692.6292,1354.2881
2024-02-01,695.2301,1332.2608
2024-03-01,719.0721,1652.8951
2024-04-01,715.7725,1683.7845
2024-05-01,709.9184,1646.8712
2024-06-01,710.5129,1597.813
2024-07-01,705.4922,1665.3835
2024-08-01,706.5459,1586.2368
2024-09-01,701.9947,1615.7986
2024-10-01,700.0812,1654.2609
2024-11-01,704.7997,1598.1814
2024-12-01,703.5195,1784.9594
2025-01-01,702.2837,1612.6498
2025-02-01,702.4243,1482.4465
2025-03-01,714.2314,1856.452
2025-04-01,709.9687,1791.848
2025-05-01,712.0912,1642.6285
2025-06-01,709.2701,1819.631
2025-07-01,696.4325,1759.7971
2025-08-01,697.3871,1618.0407
2025-09-01,696.058,1702.426
